UniProt_ID,Organism,Gene_Name,Synonyms,Other_Accessions,PDB_ID,Method,Resolution,Chains
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2HZI,X-ray,1.70 A,A/B=229-500
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2O88,X-ray,1.75 A,A/B=64-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2V7A,X-ray,2.50 A,A/B=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3CS9,X-ray,2.21 A,A/B/C/D=229-500
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3EG0,X-ray,2.30 A,A=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3EG1,X-ray,1.85 A,A/B=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3EG2,X-ray,1.80 A,A=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3EG3,X-ray,1.40 A,A=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3EGU,X-ray,2.25 A,A=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3K2M,X-ray,1.75 A,A/B=121-232
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3PYY,X-ray,1.85 A,A/B=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3QRI,X-ray,2.10 A,A/B=229-499
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3QRJ,X-ray,1.82 A,A/B=229-499
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3QRK,X-ray,2.30 A,A=229-499
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3T04,X-ray,2.10 A,A=112-232
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3UE4,X-ray,2.42 A,A/B=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3UYO,X-ray,1.83 A,A=112-232
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4J9B,X-ray,1.70 A,A=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4J9C,X-ray,1.05 A,A=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4J9D,X-ray,1.50 A,A/C/E=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4J9E,X-ray,1.40 A,A/C/E=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4J9F,X-ray,1.09 A,A/C/E=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4J9G,X-ray,1.80 A,A/C/E=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4J9H,X-ray,1.70 A,A/B/C/D/E/F=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4J9I,X-ray,2.20 A,A/C/E=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4JJB,X-ray,1.65 A,A=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4JJC,X-ray,1.60 A,A=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4JJD,X-ray,1.60 A,A=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4TWP,X-ray,2.40 A,A/B=233-503
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4WA9,X-ray,2.20 A,A/B=246-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4XEY,X-ray,2.89 A,A/B=119-515
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4YC8,X-ray,2.90 A,A/B=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4ZOG,X-ray,2.30 A,A/B=229-511
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5DC0,X-ray,2.23 A,B=112-232
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5DC4,X-ray,1.48 A,A=112-232
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5DC9,X-ray,1.56 A,A=112-232
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5HU9,X-ray,1.53 A,A=229-500
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5MO4,X-ray,2.17 A,A=27-515
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5NP2,X-ray,1.60 A,A/B=64-120
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5OAZ,X-ray,1.03 A,A/B=60-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",6AMV,NMR,,A=26-236
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",6AMW,NMR,,A=26-236
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",6BL8,X-ray,2.50 A,A/B=233-504
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",6NPE,X-ray,2.15 A,A/B=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",6NPU,X-ray,2.33 A,A/B=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",6NPV,X-ray,1.86 A,A/B=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",6XR6,NMR,,A=229-515
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",6XR7,NMR,,A=229-515
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",6XRG,NMR,,A=229-515
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",7CC2,X-ray,2.72 A,A/B=229-510
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",7DT2,X-ray,2.30 A,A/B=229-510
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",7N9G,X-ray,2.20 A,A/B/C=229-499
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",7PVQ,X-ray,1.55 A,A/B=63-120
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",7PVR,X-ray,1.65 A,A=63-120
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",7PVS,X-ray,1.05 A,A/B=63-120
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",7PVV,X-ray,1.82 A,A=63-120
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",7PW2,X-ray,1.10 A,A=63-120
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",7W7X,X-ray,2.00 A,A/B=229-500
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",7W7Y,X-ray,2.20 A,A/B=229-504
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",8H7F,X-ray,2.45 A,A/B=229-500
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",8H7H,X-ray,2.28 A,A/B=229-500
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",8SSN,X-ray,2.86 A,A/B=64-510
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",1OPL,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",1ZZP,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2F4J,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2FO0,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2G1T,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2G2F,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2G2H,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2GQG,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2HZI,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3EG3,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",3QRJ,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",4XEY,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5DC4,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5HU9,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5MO4,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",5OAZ,,,
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",6AMV,,,
Q04771,9606,ACVR1,ACVRLK2,,3H9R,X-ray,2.35 A,A=172-499
Q04771,9606,ACVR1,ACVRLK2,,3MTF,X-ray,2.15 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,3OOM,X-ray,2.00 A,A=201-499
Q04771,9606,ACVR1,ACVRLK2,,3Q4U,X-ray,1.82 A,A/B/C/D=201-499
Q04771,9606,ACVR1,ACVRLK2,,4BGG,X-ray,2.56 A,A/B/C/D=201-499
Q04771,9606,ACVR1,ACVRLK2,,4C02,X-ray,2.17 A,A=172-499
Q04771,9606,ACVR1,ACVRLK2,,4DYM,X-ray,2.42 A,A=201-499
Q04771,9606,ACVR1,ACVRLK2,,5OXG,X-ray,2.13 A,A/B/C/D=201-499
Q04771,9606,ACVR1,ACVRLK2,,5OY6,X-ray,2.56 A,A/B/C/D=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S75,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S76,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S77,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S78,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S79,X-ray,1.50 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7A,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7B,X-ray,1.32 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7C,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7D,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7E,X-ray,1.32 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7F,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7G,X-ray,1.78 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7H,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7I,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7J,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7K,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7L,X-ray,1.36 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7M,X-ray,1.32 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7N,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7O,X-ray,1.43 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7P,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7Q,X-ray,1.53 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7R,X-ray,1.46 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7S,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7T,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7U,X-ray,1.59 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7V,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7W,X-ray,1.33 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7X,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7Y,X-ray,1.37 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S7Z,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S80,X-ray,1.67 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S81,X-ray,1.43 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S82,X-ray,1.71 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S83,X-ray,1.33 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S84,X-ray,1.35 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S85,X-ray,1.33 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S86,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S87,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S88,X-ray,1.31 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S89,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S8A,X-ray,1.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S8B,X-ray,1.64 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,5S9K,X-ray,1.35 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,6ACR,X-ray,2.01 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,6EIX,X-ray,2.30 A,A=172-509
Q04771,9606,ACVR1,ACVRLK2,,6GI6,X-ray,1.98 A,A=201-499
Q04771,9606,ACVR1,ACVRLK2,,6GIN,X-ray,2.20 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,6GIP,X-ray,2.17 A,A=201-499
Q04771,9606,ACVR1,ACVRLK2,,6I1S,X-ray,1.52 A,A=172-499
Q04771,9606,ACVR1,ACVRLK2,,6JUX,X-ray,1.75 A,A=201-499
Q04771,9606,ACVR1,ACVRLK2,,6SRH,X-ray,1.25 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,6SZM,X-ray,1.42 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,6T6D,X-ray,2.56 A,A/B/C/D=201-499
Q04771,9606,ACVR1,ACVRLK2,,6T8N,X-ray,1.77 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,6TN8,X-ray,1.63 A,A=201-499
Q04771,9606,ACVR1,ACVRLK2,,6UNQ,X-ray,2.40 A,A=201-499
Q04771,9606,ACVR1,ACVRLK2,,6UNR,X-ray,2.20 A,A=201-499
Q04771,9606,ACVR1,ACVRLK2,,6UNS,X-ray,2.30 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,6Z36,X-ray,1.37 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,6ZGC,X-ray,2.67 A,A/B/C/D=201-499
Q04771,9606,ACVR1,ACVRLK2,,7A21,X-ray,2.14 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,7C3G,X-ray,1.80 A,A/B=201-499
Q04771,9606,ACVR1,ACVRLK2,,7NNS,X-ray,2.14 A,B=201-499
Q04771,9606,ACVR1,ACVRLK2,,7YRU,X-ray,2.60 A,A=21-123
Q04771,9606,ACVR1,ACVRLK2,,8C7W,X-ray,2.26 A,A=201-499
Q04771,9606,ACVR1,ACVRLK2,,8C7Z,X-ray,2.23 A,A=201-499
Q04771,9606,ACVR1,ACVRLK2,,3H9R,,,
Q04771,9606,ACVR1,ACVRLK2,,3MTF,,,
Q04771,9606,ACVR1,ACVRLK2,,6I1S,,,
Q04771,9606,ACVR1,ACVRLK2,,6SRH,,,
Q04771,9606,ACVR1,ACVRLK2,,7YRU,,,
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",4WB9,X-ray,2.07 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",4WJ9,X-ray,1.74 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",4WP7,X-ray,1.80 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",4WPN,X-ray,1.95 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",4X4L,X-ray,1.85 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",5AC2,X-ray,1.85 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",5L2M,X-ray,1.70 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",5L2N,X-ray,1.70 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",5L2O,X-ray,2.05 A,A/B/C/D/E/F/G/H=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",5TEI,X-ray,2.10 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",6DUM,X-ray,2.00 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",7JWS,X-ray,1.60 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",7JWT,X-ray,1.80 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",7JWU,X-ray,1.90 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",7JWV,X-ray,1.60 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",7JWW,X-ray,1.60 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",7UM9,X-ray,1.80 A,A=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",8D46,EM,2.84 A,A/B/C/D=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",8DNO,EM,3.40 A,A/B/C/D=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",8ENE,EM,2.64 A,A/B/C/D=1-501
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",4WB9,,,
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",4WJ9,,,
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",4WP7,,,
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",4WPN,,,
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",4X4L,,,
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",5AC2,,,
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",5L2O,,,
P00352,9606,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",7JWS,,,
O14965,9606,AURKA,"AIK, AIRK1, ARK1, AURA, AYK1, BTAK, IAK1, STK15, STK6","E1P5F9, O60445, O75873, Q9BQD6, Q9UPG5",1MQ4,X-ray,1.90 A,A=125-391
O14965,9606,AURKA,"AIK, AIRK1, ARK1, AURA, AYK1, BTAK, IAK1, STK15, STK6","E1P5F9, O60445, O75873, Q9BQD6, Q9UPG5",1MUO,X-ray,2.90 A,A=107-403
O14965,9606,AURKA,"AIK, AIRK1, ARK1, AURA, AYK1, BTAK, IAK1, STK15, STK6","E1P5F9, O60445, O75873, Q9BQD6, Q9UPG5",1OL5,X-ray,2.50 A,A=122-403
O14965,9606,AURKA,"AIK, AIRK1, ARK1, AURA, AYK1, BTAK, IAK1, STK15, STK6","E1P5F9, O60445, O75873, Q9BQD6, Q9UPG5",1OL6,X-ray,3.00 A,A=122-403
O14965,9606,AURKA,"AIK, AIRK1, ARK1, AURA, AYK1, BTAK, IAK1, STK15, STK6","E1P5F9, O60445, O75873, Q9BQD6, Q9UPG5",1OL7,X-ray,2.75 A,A=122-403
O14965,9606,AURKA,"AIK, AIRK1, ARK1, AURA, AYK1, BTAK, IAK1, STK15, STK6","E1P5F9, O60445, O75873, Q9BQD6, Q9UPG5",2BMC,X-ray,2.60 A,A/B/C/D/E/F=100-403
O14965,9606,AURKA,"AIK, AIRK1, ARK1, AURA, AYK1, BTAK, IAK1, STK15, STK6","E1P5F9, O60445, O75873, Q9BQD6, Q9UPG5",2C6D,X-ray,2.20 A,A=124-398
