UniProt_ID,ChEMBL_ID,PDB_ID,Gene_Name,Synonyms,Other_Accessions,Organism,Method,Resolution,Chains
P00519,CHEMBL1862,5DC4,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.48 A,A=112-232
P00519,CHEMBL1862,5DC9,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.56 A,A=112-232
P00519,CHEMBL1862,5HU9,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.53 A,A=229-500
P00519,CHEMBL1862,5MO4,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.17 A,A=27-515
P00519,CHEMBL1862,5NP2,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.60 A,A/B=64-120
P00519,CHEMBL1862,5OAZ,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.03 A,A/B=60-121
P00519,CHEMBL1862,6AMV,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,NMR,,A=26-236
P00519,CHEMBL1862,6AMW,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,NMR,,A=26-236
P00519,CHEMBL1862,6BL8,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.50 A,A/B=233-504
P00519,CHEMBL1862,6NPE,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.15 A,A/B=229-512
P00519,CHEMBL1862,6NPU,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.33 A,A/B=229-512
P00519,CHEMBL1862,6NPV,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.86 A,A/B=229-512
P00519,CHEMBL1862,6XR6,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,NMR,,A=229-515
P00519,CHEMBL1862,6XR7,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,NMR,,A=229-515
P00519,CHEMBL1862,6XRG,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,NMR,,A=229-515
P00519,CHEMBL1862,7CC2,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.72 A,A/B=229-510
P00519,CHEMBL1862,7DT2,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.30 A,A/B=229-510
P00519,CHEMBL1862,7N9G,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.20 A,A/B/C=229-499
P00519,CHEMBL1862,7PVQ,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.55 A,A/B=63-120
P00519,CHEMBL1862,7PVR,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.65 A,A=63-120
P00519,CHEMBL1862,7PVS,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.05 A,A/B=63-120
P00519,CHEMBL1862,7PVV,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.82 A,A=63-120
P00519,CHEMBL1862,7PW2,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.10 A,A=63-120
P00519,CHEMBL1862,7W7X,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.00 A,A/B=229-500
P00519,CHEMBL1862,7W7Y,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.20 A,A/B=229-504
P00519,CHEMBL1862,8H7F,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.45 A,A/B=229-500
P00519,CHEMBL1862,8H7H,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.28 A,A/B=229-500
P00519,CHEMBL1862,8SSN,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.86 A,A/B=64-510
P00519,CHEMBL1862,1OPL,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,1ZZP,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,2F4J,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,2FO0,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,2G1T,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,2G2F,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,2G2H,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,2GQG,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,2HZI,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,3EG3,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,3QRJ,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,4XEY,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,5DC4,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,5HU9,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,5MO4,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,5OAZ,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
P00519,CHEMBL1862,6AMV,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,,,
Q04771,CHEMBL5903,3H9R,ACVR1,ACVRLK2,,9606,X-ray,2.35 A,A=172-499
Q04771,CHEMBL5903,3MTF,ACVR1,ACVRLK2,,9606,X-ray,2.15 A,A/B=201-499
Q04771,CHEMBL5903,3OOM,ACVR1,ACVRLK2,,9606,X-ray,2.00 A,A=201-499
Q04771,CHEMBL5903,3Q4U,ACVR1,ACVRLK2,,9606,X-ray,1.82 A,A/B/C/D=201-499
Q04771,CHEMBL5903,4BGG,ACVR1,ACVRLK2,,9606,X-ray,2.56 A,A/B/C/D=201-499
Q04771,CHEMBL5903,4C02,ACVR1,ACVRLK2,,9606,X-ray,2.17 A,A=172-499
Q04771,CHEMBL5903,4DYM,ACVR1,ACVRLK2,,9606,X-ray,2.42 A,A=201-499
Q04771,CHEMBL5903,5OXG,ACVR1,ACVRLK2,,9606,X-ray,2.13 A,A/B/C/D=201-499
Q04771,CHEMBL5903,5OY6,ACVR1,ACVRLK2,,9606,X-ray,2.56 A,A/B/C/D=201-499
Q04771,CHEMBL5903,5S75,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S76,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S77,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S78,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S79,ACVR1,ACVRLK2,,9606,X-ray,1.50 A,A/B=201-499
Q04771,CHEMBL5903,5S7A,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S7B,ACVR1,ACVRLK2,,9606,X-ray,1.32 A,A/B=201-499
Q04771,CHEMBL5903,5S7C,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S7D,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S7E,ACVR1,ACVRLK2,,9606,X-ray,1.32 A,A/B=201-499
Q04771,CHEMBL5903,5S7F,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S7G,ACVR1,ACVRLK2,,9606,X-ray,1.78 A,A/B=201-499
Q04771,CHEMBL5903,5S7H,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S7I,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S7J,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S7K,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S7L,ACVR1,ACVRLK2,,9606,X-ray,1.36 A,A/B=201-499
Q04771,CHEMBL5903,5S7M,ACVR1,ACVRLK2,,9606,X-ray,1.32 A,A/B=201-499
Q04771,CHEMBL5903,5S7N,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S7O,ACVR1,ACVRLK2,,9606,X-ray,1.43 A,A/B=201-499
Q04771,CHEMBL5903,5S7P,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S7Q,ACVR1,ACVRLK2,,9606,X-ray,1.53 A,A/B=201-499
Q04771,CHEMBL5903,5S7R,ACVR1,ACVRLK2,,9606,X-ray,1.46 A,A/B=201-499
Q04771,CHEMBL5903,5S7S,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S7T,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S7U,ACVR1,ACVRLK2,,9606,X-ray,1.59 A,A/B=201-499
Q04771,CHEMBL5903,5S7V,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S7W,ACVR1,ACVRLK2,,9606,X-ray,1.33 A,A/B=201-499
Q04771,CHEMBL5903,5S7X,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S7Y,ACVR1,ACVRLK2,,9606,X-ray,1.37 A,A/B=201-499
Q04771,CHEMBL5903,5S7Z,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S80,ACVR1,ACVRLK2,,9606,X-ray,1.67 A,A/B=201-499
Q04771,CHEMBL5903,5S81,ACVR1,ACVRLK2,,9606,X-ray,1.43 A,A/B=201-499
Q04771,CHEMBL5903,5S82,ACVR1,ACVRLK2,,9606,X-ray,1.71 A,A/B=201-499
Q04771,CHEMBL5903,5S83,ACVR1,ACVRLK2,,9606,X-ray,1.33 A,A/B=201-499
Q04771,CHEMBL5903,5S84,ACVR1,ACVRLK2,,9606,X-ray,1.35 A,A/B=201-499
Q04771,CHEMBL5903,5S85,ACVR1,ACVRLK2,,9606,X-ray,1.33 A,A/B=201-499
Q04771,CHEMBL5903,5S86,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S87,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S88,ACVR1,ACVRLK2,,9606,X-ray,1.31 A,A/B=201-499
Q04771,CHEMBL5903,5S89,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S8A,ACVR1,ACVRLK2,,9606,X-ray,1.30 A,A/B=201-499
Q04771,CHEMBL5903,5S8B,ACVR1,ACVRLK2,,9606,X-ray,1.64 A,A/B=201-499
Q04771,CHEMBL5903,5S9K,ACVR1,ACVRLK2,,9606,X-ray,1.35 A,A/B=201-499
Q04771,CHEMBL5903,6ACR,ACVR1,ACVRLK2,,9606,X-ray,2.01 A,A/B=201-499
Q04771,CHEMBL5903,6EIX,ACVR1,ACVRLK2,,9606,X-ray,2.30 A,A=172-509
Q04771,CHEMBL5903,6GI6,ACVR1,ACVRLK2,,9606,X-ray,1.98 A,A=201-499
Q04771,CHEMBL5903,6GIN,ACVR1,ACVRLK2,,9606,X-ray,2.20 A,A/B=201-499
Q04771,CHEMBL5903,6GIP,ACVR1,ACVRLK2,,9606,X-ray,2.17 A,A=201-499
Q04771,CHEMBL5903,6I1S,ACVR1,ACVRLK2,,9606,X-ray,1.52 A,A=172-499
Q04771,CHEMBL5903,6JUX,ACVR1,ACVRLK2,,9606,X-ray,1.75 A,A=201-499
Q04771,CHEMBL5903,6SRH,ACVR1,ACVRLK2,,9606,X-ray,1.25 A,A/B=201-499
Q04771,CHEMBL5903,6SZM,ACVR1,ACVRLK2,,9606,X-ray,1.42 A,A/B=201-499
Q04771,CHEMBL5903,6T6D,ACVR1,ACVRLK2,,9606,X-ray,2.56 A,A/B/C/D=201-499
Q04771,CHEMBL5903,6T8N,ACVR1,ACVRLK2,,9606,X-ray,1.77 A,A/B=201-499
Q04771,CHEMBL5903,6TN8,ACVR1,ACVRLK2,,9606,X-ray,1.63 A,A=201-499
Q04771,CHEMBL5903,6UNQ,ACVR1,ACVRLK2,,9606,X-ray,2.40 A,A=201-499
Q04771,CHEMBL5903,6UNR,ACVR1,ACVRLK2,,9606,X-ray,2.20 A,A=201-499
Q04771,CHEMBL5903,6UNS,ACVR1,ACVRLK2,,9606,X-ray,2.30 A,A/B=201-499
Q04771,CHEMBL5903,6Z36,ACVR1,ACVRLK2,,9606,X-ray,1.37 A,A/B=201-499
Q04771,CHEMBL5903,6ZGC,ACVR1,ACVRLK2,,9606,X-ray,2.67 A,A/B/C/D=201-499
Q04771,CHEMBL5903,7A21,ACVR1,ACVRLK2,,9606,X-ray,2.14 A,A/B=201-499
Q04771,CHEMBL5903,7C3G,ACVR1,ACVRLK2,,9606,X-ray,1.80 A,A/B=201-499
Q04771,CHEMBL5903,7NNS,ACVR1,ACVRLK2,,9606,X-ray,2.14 A,B=201-499
Q04771,CHEMBL5903,7YRU,ACVR1,ACVRLK2,,9606,X-ray,2.60 A,A=21-123
Q04771,CHEMBL5903,8C7W,ACVR1,ACVRLK2,,9606,X-ray,2.26 A,A=201-499
Q04771,CHEMBL5903,8C7Z,ACVR1,ACVRLK2,,9606,X-ray,2.23 A,A=201-499
Q04771,CHEMBL5903,3H9R,ACVR1,ACVRLK2,,9606,,,
Q04771,CHEMBL5903,3MTF,ACVR1,ACVRLK2,,9606,,,
Q04771,CHEMBL5903,6I1S,ACVR1,ACVRLK2,,9606,,,
Q04771,CHEMBL5903,6SRH,ACVR1,ACVRLK2,,9606,,,
Q04771,CHEMBL5903,7YRU,ACVR1,ACVRLK2,,9606,,,
P00352,CHEMBL3577,4WB9,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,2.07 A,A=1-501
P00352,CHEMBL3577,4WJ9,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,1.74 A,A=1-501
P00352,CHEMBL3577,4WP7,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,1.80 A,A=1-501
P00352,CHEMBL3577,4WPN,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,1.95 A,A=1-501
P00352,CHEMBL3577,4X4L,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,1.85 A,A=1-501
P00352,CHEMBL3577,5AC2,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,1.85 A,A=1-501
P00352,CHEMBL3577,5L2M,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,1.70 A,A=1-501
P00352,CHEMBL3577,5L2N,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,1.70 A,A=1-501
P00352,CHEMBL3577,5L2O,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,2.05 A,A/B/C/D/E/F/G/H=1-501
P00352,CHEMBL3577,5TEI,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,2.10 A,A=1-501
P00352,CHEMBL3577,6DUM,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,2.00 A,A=1-501
P00352,CHEMBL3577,7JWS,ALDH1A1,"ALDC, ALDH1, PUMB1","O00768, Q5SYR1",9606,X-ray,1.60 A,A=1-501
