Uniprot_ID,Gene_Name,Synonyms,Other_Accessions,PDB_ID,Method,Resolution,Chains
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",7MN6,EM,3.09 A,B=1-1029
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",7MN8,EM,3.45 A,B=1-1029
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",7PCD,X-ray,1.77 A,A=703-1029
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",7QVK,X-ray,3.10 A,AAA=23-646
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",8FFJ,EM,7.50 A,X=23-644
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",8HGO,EM,3.31 A,B=1-693
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",8HGP,EM,4.53 A,B=1-693
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",8Q6J,EM,3.30 A,E=23-646
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",1N8Z,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",1S78,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",2A91,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3BE1,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3H3B,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3MZW,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3N85,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3WLW,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3WSQ,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",4HRL,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",4HRM,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",4HRN,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",1MW4,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",1N8Z,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",2A91,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",2JWA,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",2N2A,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3H3B,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3MZW,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3N85,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3PP0,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3WLW,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3WSQ,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",5MY6,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",6J71,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",6LBX,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",7MN5,,,
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",7PCD,,,
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",1IVO,X-ray,3.30 A,A/B=25-646
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",1M14,X-ray,2.60 A,A=695-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",1M17,X-ray,2.60 A,A=695-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",1MOX,X-ray,2.50 A,A/B=25-525
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",1NQL,X-ray,2.80 A,A=25-642
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",1XKK,X-ray,2.40 A,A=695-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",1YY9,X-ray,2.60 A,A=25-642
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",1Z9I,NMR,,A=669-721
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2EB2,X-ray,2.50 A,A=695-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2EB3,X-ray,2.84 A,A=695-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2GS2,X-ray,2.80 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2GS6,X-ray,2.60 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2GS7,X-ray,2.60 A,A/B=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITN,X-ray,2.47 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITO,X-ray,3.25 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITP,X-ray,2.74 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITQ,X-ray,2.68 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITT,X-ray,2.73 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITU,X-ray,2.80 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITV,X-ray,2.47 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITW,X-ray,2.88 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITX,X-ray,2.98 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITY,X-ray,3.42 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2ITZ,X-ray,2.72 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2J5E,X-ray,3.10 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2J5F,X-ray,3.00 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2J6M,X-ray,3.10 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2JIT,X-ray,3.10 A,A/B=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2JIU,X-ray,3.05 A,A/B=695-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2JIV,X-ray,3.50 A,A/B=695-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2KS1,NMR,,B=634-677
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2M0B,NMR,,A/B=634-677
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2M20,NMR,,A/B=642-697
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2N5S,NMR,,A=642-690
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2RF9,X-ray,3.50 A,A/B=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2RFD,X-ray,3.60 A,A/B=702-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2RFE,X-ray,2.90 A,A/B/C/D=702-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",2RGP,X-ray,2.00 A,A=702-1016
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3B2U,X-ray,2.58 A,A/B/E/I/M/P/S/V=335-538
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3B2V,X-ray,3.30 A,A=25-642
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3BEL,X-ray,2.30 A,A=702-1016
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3BUO,X-ray,2.60 A,A/C=1063-1075
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3C09,X-ray,3.20 A,A/D=336-538
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3G5V,X-ray,2.00 A,C=311-326
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3G5Y,X-ray,1.59 A,E=311-326
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3GOP,X-ray,2.80 A,A=669-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3GT8,X-ray,2.96 A,A/B/C/D=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3IKA,X-ray,2.90 A,A/B=694-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3LZB,X-ray,2.70 A,A/B/C/D/E/F/G/H=696-983
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3NJP,X-ray,3.30 A,A/B=25-638
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3OB2,X-ray,2.10 A,A=1063-1074
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3OP0,X-ray,2.52 A,C/D=1066-1076
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3P0Y,X-ray,1.80 A,A=334-538
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3PFV,X-ray,2.27 A,C/D=1066-1076
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3POZ,X-ray,1.50 A,A=696-1022
P00533,EGFR,"ERBB, ERBB1, HER1","O00688, O00732, P06268, Q14225, Q68GS5, Q92795, Q9BZS2, Q9GZX1, Q9H2C9, Q9H3C9, Q9UMD7, Q9UMD8, Q9UMG5",3QWQ,X-ray,2.75 A,A=1-642
